"well_position","ct_threshold","year","week","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"E2","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21866"
"E3","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21874"
"E4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21882"
"E5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21890"
"E6","34000","24","25","plate_1",4.4,3.95,35.89,35.75,"CSU-21898"
"E7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21906"
"E8","34000","24","25","plate_1",0,1.92,55.55,36.77,"CSU-21914"
"E9","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-008"
"E10","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-016"
"E12","34000","24","25","plate_1",10000,0,24.93,55.55,"slev_std_1e4"
"F1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21859"
"F2","34000","24","25","plate_1",3.71,0,36.13,55.55,"CSU-21867"
"F3","34000","24","25","plate_1",0,1.95,55.55,36.75,"CSU-21875"
"F4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21883"
"F5","34000","24","25","plate_1",0.4,0,39.27,55.55,"CSU-21891"
"F6","34000","24","25","plate_1",1.59,0,37.33,55.55,"CSU-21899"
"F7","34000","24","25","plate_1",0.5,0,38.98,55.55,"CSU-21907"
"F8","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21915"
"F9","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-009"
"F10","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-017"
"F12","34000","24","25","plate_1",100,0,31.49,55.55,"slev_std_1e2"
"G1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21860"
"G2","34000","24","25","plate_1",0,1.92,55.55,36.77,"CSU-21868"
"G3","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21876"
"G4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21884"
"G5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21892"
"G6","34000","24","25","plate_1",0.28,0,39.79,55.55,"CSU-21900"
"G7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21908"
"G8","34000","24","25","plate_1",0,89973632,55.55,11.76,"CSU-21916"
"G9","34000","24","25","plate_1",0,0.99,55.55,37.7,"CDC-010"
"G10","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-018"
"G12","34000","24","25","plate_1",0.92,0,38.11,55.55,"neg pcr ctrl"
"H1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21861"
"H2","34000","24","25","plate_1",0.37,0.33,39.4,39.27,"CSU-21869"
"H3","34000","24","25","plate_1",0,1.11,55.55,37.55,"CSU-21877"
"H4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21885"
"H5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21893"
"H6","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21901"
"H7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21909"
"H8","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21917"
"H9","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-011"
"H10","34000","24","25","plate_1",265714.72,8036865,20.32,15.18,"pos extract ctl"
"H12","34000","24","25","plate_1",0,0,55.55,55.55,"neg pcr ctrl"
"A1","34000","24","26","plate_1",4.79,38.3,36.35,32.97,"CSU-21921"
"A2","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21929"
"A3","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21937"
"A4","34000","24","26","plate_1",4.8,36.56,36.34,33.03,"CSU-21945"
"A5","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21953"
"A6","34000","24","26","plate_1",7.39,36.2,35.75,33.05,"CSU-21961"
"A7","34000","24","26","plate_1",14.69,41.28,34.8,32.88,"CSU-21969"
"A8","34000","24","26","plate_1",0,21.04,55.55,33.75,"CSU-21977"
"A9","34000","24","26","plate_1",0,1,55.55,37.72,"CSU-21985"
"A10","34000","24","26","plate_1",6.75,18.11,35.88,33.95,"CSU-21993"
"A12","34000","24","26","plate_1",0,1e+06,55.55,19.68,"wnv_std_1e6"
"B1","34000","24","26","plate_1",37.85,27.08,33.5,33.42,"CSU-21922"
"B2","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21930"
"B3","34000","24","26","plate_1",0,26.98,55.55,33.43,"CSU-21938"
"B4","34000","24","26","plate_1",0,2.75,55.55,36.4,"CSU-21946"
"B5","34000","24","26","plate_1",1.91,28.01,37.61,33.38,"CSU-21954"
"B6","34000","24","26","plate_1",2.59,37.04,37.19,33.02,"CSU-21962"
"B7","34000","24","26","plate_1",0,29.67,55.55,33.31,"CSU-21970"
"B8","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21978"
"B9","34000","24","26","plate_1",0,7.75,55.55,35.05,"CSU-21986"
"B10","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21994"
"B12","34000","24","26","plate_1",24.86,10000,34.08,25.82,"wnv_std_1e4"
"C1","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21923"
"C2","34000","24","26","plate_1",10.8,43.62,35.23,32.8,"CSU-21931"
"C3","34000","24","26","plate_1",16.99,36.81,34.6,33.02,"CSU-21939"
"C4","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21947"
"C5","34000","24","26","plate_1",0,8.93,55.55,34.87,"CSU-21955"
"C6","34000","24","26","plate_1",1.99,33.23,37.56,33.16,"CSU-21963"
"C7","34000","24","26","plate_1",4.49,39.3,36.44,32.94,"CSU-21971"
"C8","34000","24","26","plate_1",2.1,25.54,37.48,33.5,"CSU-21979"
"C9","34000","24","26","plate_1",3.93,15.97,36.62,34.11,"CSU-21987"
"C10","34000","24","26","plate_1",10.68,25.54,35.24,33.5,"CSU-21995"
"C12","34000","24","26","plate_1",14.96,100,34.78,31.68,"wnv_std_1e2"
"D1","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21924"
"D2","34000","24","26","plate_1",0,16.23,55.55,34.09,"CSU-21932"
"D3","34000","24","26","plate_1",0,18.03,55.55,33.95,"CSU-21940"
"D4","34000","24","26","plate_1",2.36,25.3,37.32,33.51,"CSU-21948"
"D5","34000","24","26","plate_1",19.16,29.58,34.44,33.31,"CSU-21956"
"D6","34000","24","26","plate_1",0.92,31.6,38.62,33.22,"CSU-21964"
"D7","34000","24","26","plate_1",0.53,29.57,39.39,33.31,"CSU-21972"
"D8","34000","24","26","plate_1",24.06,20.33,34.12,33.8,"CSU-21980"
"D9","34000","24","26","plate_1",18.38,36.34,34.49,33.04,"CSU-21988"
"D10","34000","24","26","plate_1",25.03,42.33,34.07,32.84,"CSU-21996"
"D12","34000","24","26","plate_1",1e+06,17.13,19.46,34.02,"slev_std_1e6"
"E1","34000","24","26","plate_1",9.92,15.59,35.35,34.14,"CSU-21925"
"E2","34000","24","26","plate_1",17.17,23.64,34.59,33.6,"CSU-21933"
"E3","34000","24","26","plate_1",0,27.1,55.55,33.42,"CSU-21941"
"E4","34000","24","26","plate_1",0,17.44,55.55,34,"CSU-21949"
"E5","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21957"
"E6","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21965"
"E7","34000","24","26","plate_1",2.96,10.55,37.01,34.65,"CSU-21973"
"E8","34000","24","26","plate_1",0,12.5,55.55,34.43,"CSU-21981"
"E9","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21989"
"E10","34000","24","26","plate_1",9.79,34.84,35.36,33.1,"CSU-21997"
"E12","34000","24","26","plate_1",10000,34.23,25.82,33.12,"slev_std_1e4"
"F1","34000","24","26","plate_1",0,0.29,55.55,39.35,"CSU-21926"
"F2","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21934"
"F3","34000","24","26","plate_1",0,0.29,55.55,39.35,"CSU-21942"
"F4","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21950"
"F5","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21958"
"F6","34000","24","26","plate_1",14.49,15.42,34.82,34.16,"CSU-21966"
"F7","34000","24","26","plate_1",2.33,36.82,37.34,33.02,"CSU-21974"
"F8","34000","24","26","plate_1",7.85,24.5,35.67,33.55,"CSU-21982"
"F9","34000","24","26","plate_1",0,36.32,55.55,33.04,"CSU-21990"
"F10","34000","24","26","plate_1",10.3,32.03,35.29,33.21,"CSU-21998"
"F11","34000","24","26","plate_1",0,388415.53,55.55,20.96,"pos extract ctl"
"F12","34000","24","26","plate_1",100,38.47,32.16,32.97,"slev_std_1e2"
"G1","34000","24","26","plate_1",6.63,42.38,35.9,32.84,"CSU-21927"
"G2","34000","24","26","plate_1",0,13.96,55.55,34.29,"CSU-21935"
"G3","34000","24","26","plate_1",0,18.24,55.55,33.94,"CSU-21943"
"G4","34000","24","26","plate_1",0,27.35,55.55,33.41,"CSU-21951"
"G5","34000","24","26","plate_1",1.91,40.34,37.62,32.91,"CSU-21959"
"G6","34000","24","26","plate_1",0,0.78,55.55,38.04,"CSU-21967"
"G7","34000","24","26","plate_1",5.47,21.49,36.17,33.73,"CSU-21975"
"G8","34000","24","26","plate_1",0,31.36,55.55,33.23,"CSU-21983"
"G9","34000","24","26","plate_1",2.26,23.42,37.38,33.61,"CSU-21991"
"G10","34000","24","26","plate_1",0,38.22,55.55,32.98,"CSU-21999"
"G11","34000","24","26","plate_1",390356.25,3.82,20.76,35.98,"pos extract ctl"
"H1","34000","24","26","plate_1",0,0,55.55,55.55,"CSU-21928"
"H2","34000","24","26","plate_1",9.1,28.07,35.46,33.38,"CSU-21936"
"H3","34000","24","26","plate_1",4.89,40.04,36.32,32.92,"CSU-21944"
"H4","34000","24","26","plate_1",0,43.13,55.55,32.82,"CSU-21952"
"H5","34000","24","26","plate_1",5.23,16.7,36.23,34.05,"CSU-21960"
"H6","34000","24","26","plate_1",7.89,37.76,35.66,32.99,"CSU-21968"
"H7","34000","24","26","plate_1",0,37.81,55.55,32.99,"CSU-21976"
"H8","34000","24","26","plate_1",0.69,17.56,39.02,33.99,"CSU-21984"
"H9","34000","24","26","plate_1",0.6,13.17,39.22,34.36,"CSU-21992"
"H10","34000","24","26","plate_1",0,0,55.55,33.53,"neg pcr ctrl"
"H11","34000","24","26","plate_1",70267.09,6142613.5,23.13,17.37,"pos extract ctl"
"H12","34000","24","26","plate_1",0,0,35.21,32.52,"neg pcr ctrl"
"A1","34000","24","26","plate_2",0,11.41,55.55,33.97,"CSU-22000"
"A2","34000","24","26","plate_2",0,9.35,55.55,34.23,"CSU-22008"
"A3","34000","24","26","plate_2",7.32,17.39,34.76,33.41,"CSU-22016"
"A4","34000","24","26","plate_2",0,0,55.55,55.55,"BOU-00210"
"A5","34000","24","26","plate_2",0.9,21.21,37.62,33.14,"CDC-026"
"A6","34000","24","26","plate_2",0.6,20.6,38.18,33.18,"CDC-034"
"A12","34000","24","26","plate_2",0,1e+06,55.55,18.84,"wnv_std_1e6"
"B1","34000","24","26","plate_2",0.25,11.45,39.38,33.96,"CSU-22001"
"B2","34000","24","26","plate_2",0,0,55.55,55.55,"CSU-22009"
