"zone","week","spp","type","abund","pir","vi","type2"
"LV","31","Pipiens","hx",5.305,0.00197,0.0305,"hx_Pipiens"
"LV","31","Tarsalis","hx",78.527,0.00207,0.19731,"hx_Tarsalis"
"LV","32","Pipiens","hx",6.876,0.00544,0.01295,"hx_Pipiens"
"LV","32","Tarsalis","hx",48.259,0.00582,0.26592,"hx_Tarsalis"
"LV","33","Pipiens","hx",7.633,0.00175,0.03327,"hx_Pipiens"
"LV","33","Tarsalis","hx",37.461,0.00631,0.2326,"hx_Tarsalis"
"LV","34","Pipiens","hx",10.945,0.00278,0.03957,"hx_Pipiens"
"LV","34","Tarsalis","hx",34.39,0.00451,0.14682,"hx_Tarsalis"
"LV","35","Pipiens","hx",5.733,0.0023,0.01686,"hx_Pipiens"
"LV","35","Tarsalis","hx",17.287,0.00835,0.16618,"hx_Tarsalis"
"LV","36","Pipiens","hx",6.568,0,0,"hx_Pipiens"
"LV","36","Tarsalis","hx",6.3,0.04144,0.11176,"hx_Tarsalis"
"BE","23","Pipiens","hx",0.075,NA,NA,"hx_Pipiens"
"BE","23","Pipiens","current",0,0,0,"current_Pipiens"
"BE","23","Tarsalis","hx",9.225,0,0,"hx_Tarsalis"
"BE","23","Tarsalis","current",3.44,0,0,"current_Tarsalis"
"BE","24","Pipiens","hx",0.2375,NA,NA,"hx_Pipiens"
"BE","24","Tarsalis","hx",13.4,0,0,"hx_Tarsalis"
"BE","25","Pipiens","hx",0.49375,NA,NA,"hx_Pipiens"
"BE","25","Tarsalis","hx",30.5375,4e-04,0.0314,"hx_Tarsalis"
"BE","26","Pipiens","hx",1.19375,NA,NA,"hx_Pipiens"
"BE","26","Tarsalis","hx",42.26875,0,0,"hx_Tarsalis"
"BE","27","Pipiens","hx",2.425,NA,NA,"hx_Pipiens"
"BE","27","Tarsalis","hx",67.65625,0.000175,0.0245,"hx_Tarsalis"
"BE","28","Pipiens","hx",4.4875,NA,NA,"hx_Pipiens"
"BE","28","Tarsalis","hx",99.5625,0.0014,0.1894,"hx_Tarsalis"
"BE","29","Pipiens","hx",3.93125,0.0063875,0.0303375,"hx_Pipiens"
"BE","29","Tarsalis","hx",81.3,0.0012875,0.1458875,"hx_Tarsalis"
"BE","30","Pipiens","hx",6.03125,0.00985,0.0236375,"hx_Pipiens"
"BE","30","Tarsalis","hx",68.68125,0.0011125,0.121025,"hx_Tarsalis"
"BE","31","Pipiens","hx",6.75625,0.0012125,0.0133375,"hx_Pipiens"
"BE","31","Tarsalis","hx",56.11875,0.0052125,0.1748375,"hx_Tarsalis"
"BE","32","Pipiens","hx",7.65,0.0055125,0.0632375,"hx_Pipiens"
"BE","32","Tarsalis","hx",54.61875,0.0048,0.3447,"hx_Tarsalis"
"BE","33","Pipiens","hx",6.275,0,0,"hx_Pipiens"
"BE","33","Tarsalis","hx",29.1875,0.00335,0.0530125,"hx_Tarsalis"
"BE","34","Pipiens","hx",6.70625,0.0062625,0.0431,"hx_Pipiens"
"BE","34","Tarsalis","hx",22.50625,0.0114125,0.339975,"hx_Tarsalis"
"BE","35","Pipiens","hx",5.01875,NA,NA,"hx_Pipiens"
"BE","35","Tarsalis","hx",10.09375,0.0045875,0.05145,"hx_Tarsalis"
"BC","23","Pipiens","current",0,0,0,"current_Pipiens"
"BC","23","Tarsalis","current",0,0,0,"current_Tarsalis"
"BC","24","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","24","Tarsalis","hx",14.05,0,0,"hx_Tarsalis"
"BC","25","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","25","Tarsalis","hx",16.3666666666667,0,0,"hx_Tarsalis"
"BC","26","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","26","Tarsalis","hx",19.5575,0,0,"hx_Tarsalis"
"BC","27","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","27","Tarsalis","hx",36.35,0,0,"hx_Tarsalis"
"BC","28","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","28","Tarsalis","hx",37.5425,0.003425,0.09325,"hx_Tarsalis"
"BC","29","Pipiens","hx",2.0425,NA,NA,"hx_Pipiens"
"BC","29","Tarsalis","hx",38.24,0.004,0.163325,"hx_Tarsalis"
"BC","30","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","30","Tarsalis","hx",42.3325,0.001875,0.091875,"hx_Tarsalis"
"BC","31","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","31","Tarsalis","hx",40.675,0.001075,0.04245,"hx_Tarsalis"
"BC","32","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","32","Tarsalis","hx",28.525,0.004575,0.137925,"hx_Tarsalis"
"BC","33","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","33","Tarsalis","hx",20.535,0.003325,0.09445,"hx_Tarsalis"
"BC","34","Pipiens","hx",0,NA,NA,"hx_Pipiens"
"BC","34","Tarsalis","hx",16.285,0.0059,0.092025,"hx_Tarsalis"
"BC","35","Pipiens","hx",3.15,NA,NA,"hx_Pipiens"
"BC","35","Tarsalis","hx",3.71,0,0,"hx_Tarsalis"
"BC","36","Pipiens","hx",0.95,NA,NA,"hx_Pipiens"
"BC","36","Tarsalis","hx",3.475,0,0,"hx_Tarsalis"
"BC","37","Pipiens","hx",2.9,0,0,"hx_Pipiens"
"BC","37","Tarsalis","hx",1.9,0,0,"hx_Tarsalis"
