"zone","year","week","spp","pir_old","pir_lci_old","pir_uci_old","pir_new","pir_lci_new","pir_uci_new"
"FC",2017,33,"All",0.0069,0.0026,0.0154,0.0068,0.0025,0.0153
"FC",2017,36,"Pipiens",0.0047,3e-04,0.0224,0.0046,3e-04,0.0221
"NW",2018,35,"All",0.0069,4e-04,0.036,0.0068,4e-04,0.0355
"SE",2022,36,"All",0.0046,8e-04,0.0151,0.0045,8e-04,0.0149
"LV",2022,36,"All",0.006,4e-04,0.0302,0.0059,4e-04,0.03
"FC",2022,37,"All",0.0027,0.001,0.0059,0.0026,0.001,0.0058
"SW",2023,28,"Pipiens",0.0071,4e-04,0.0379,0.007,4e-04,0.0373
"SE",2023,33,"Pipiens",0.0051,3e-04,0.0245,0.005,3e-04,0.0242
"FC",2024,33,"Pipiens",0.0046,0.0012,0.0124,0.0045,0.0012,0.0123
"BE",2024,34,"All",0.0063,0.0011,0.0217,0.0062,0.0011,0.0213
"NE",2024,37,"All",0.0053,3e-04,0.0246,0.0052,3e-04,0.0244
"SE",2025,28,"Tarsalis",0.007,0.0034,0.0129,0.0069,0.0034,0.0129
"FC",2025,28,"Pipiens",0.0025,4e-04,0.008,0.0024,4e-04,0.008
"FC",2025,28,"All",0.0051,0.003,0.008,0.005,0.003,0.008
"LV",2025,28,"All",0.0056,0.0015,0.0153,0.0055,0.0015,0.0152
"SE",2025,31,"Pipiens",0.0059,0.0011,0.019,0.0058,0.0011,0.0189
"BE",2025,32,"All",0.0074,0.0028,0.0166,0.0073,0.0027,0.0166
"FC",2015,26,"Pipiens",0.002,1e-04,0.0097,0.0019,1e-04,0.0094
"NE",2018,36,"Pipiens",0.0019,1e-04,0.0089,0.0018,1e-04,0.0089
"SE",2022,28,"All",0.0019,5e-04,0.005,0.0018,5e-04,0.005
"SE",2015,37,"All",0.0038,2e-04,0.0184,0.0037,2e-04,0.018
"FC",2016,37,"Pipiens",0.0031,2e-04,0.0147,0.003,2e-04,0.0144
"FC",2016,37,"All",0.0026,2e-04,0.0126,0.0025,1e-04,0.0121
"FC",2017,36,"All",0.0036,2e-04,0.0175,0.0035,2e-04,0.017
"FC",2018,36,"Pipiens",0.0038,0.001,0.01,0.0037,0.001,0.0099
"NE",2022,30,"Tarsalis",0.0021,1e-04,0.0099,0.002,1e-04,0.0099
"SE",2022,30,"Pipiens",0.0036,2e-04,0.0176,0.0035,2e-04,0.0175
"NW",2022,33,"All",0.0038,2e-04,0.0187,0.0037,2e-04,0.0186
"FC",2023,37,"All",0.0038,7e-04,0.0124,0.0037,7e-04,0.012
"SE",2024,29,"Tarsalis",0.0039,2e-04,0.0199,0.0038,2e-04,0.0197
"SE",2025,28,"Pipiens",0.0023,1e-04,0.0112,0.0022,1e-04,0.0112
"FC",2025,35,"Pipiens",0.0023,1e-04,0.011,0.0022,1e-04,0.0108
"SE",2015,30,"Pipiens",0.0058,0.0015,0.0158,0.0057,0.0015,0.0157
"NW",2015,31,"Pipiens",0.0185,0.0047,0.0571,0.0184,0.0047,0.0567
"NE",2015,32,"Pipiens",0.009,0.0016,0.03,0.0089,0.0016,0.0299
"SE",2015,33,"Pipiens",0.0208,0.0085,0.0465,0.0207,0.0084,0.0461
"SE",2015,34,"Tarsalis",0.0062,4e-04,0.0298,0.0061,4e-04,0.0295
"LV",2015,35,"All",0.0188,0.0038,0.065,0.0187,0.0037,0.0644
"SE",2016,31,"All",0.0096,0.0048,0.0177,0.0095,0.0047,0.0176
"SW",2016,31,"Tarsalis",0.0165,0.0047,0.0455,0.0164,0.0047,0.0453
"SW",2016,31,"All",0.0092,0.0026,0.0249,0.0091,0.0025,0.0247
"FC",2016,31,"All",0.0081,0.005,0.0124,0.008,0.005,0.0123
"NW",2016,32,"Tarsalis",0.0086,0.0017,0.027,0.0085,0.0017,0.0269
"FC",2016,32,"Pipiens",0.0123,0.007,0.0206,0.0122,0.0069,0.0205
"FC",2016,32,"All",0.0092,0.0059,0.0136,0.0091,0.0059,0.0136
"NW",2016,37,"All",0.0045,3e-04,0.0216,0.0044,3e-04,0.0212
"NW",2017,29,"Pipiens",0.0089,6e-04,0.0429,0.0088,6e-04,0.0425
"SE",2017,30,"Pipiens",0.0062,4e-04,0.0327,0.0061,4e-04,0.0324
"NE",2017,31,"Pipiens",0.0045,3e-04,0.0211,0.0044,3e-04,0.0209
"SE",2017,32,"Pipiens",0.0078,4e-04,0.0426,0.0077,4e-04,0.0419
"NE",2017,33,"Tarsalis",0.0089,5e-04,0.0447,0.0088,5e-04,0.0443
"NE",2017,33,"All",0.0083,0.0015,0.0275,0.0082,0.0015,0.0273
"SE",2017,33,"All",0.0129,0.0033,0.0375,0.0128,0.0033,0.0372
"FC",2017,33,"Pipiens",0.0081,0.0021,0.0224,0.008,0.0021,0.0221
"FC",2017,33,"Tarsalis",0.0055,0.001,0.0183,0.0054,0.001,0.0181
"FC",2018,35,"Tarsalis",0.0129,0.0042,0.0321,0.0128,0.0041,0.0318
"FC",2018,35,"All",0.016,0.0094,0.0258,0.0159,0.0093,0.0257
"SW",2020,32,"Pipiens",0.01,5e-04,0.0575,0.0099,5e-04,0.0569
"SE",2020,33,"Tarsalis",0.0103,0.0027,0.0289,0.0102,0.0027,0.0288
"SE",2020,34,"Pipiens",0.0133,0.0062,0.026,0.0132,0.0062,0.026
"SW",2021,31,"Tarsalis",0.0095,5e-04,0.0497,0.0094,5e-04,0.0492
"SW",2021,32,"All",0.0116,0.0039,0.0282,0.0115,0.0039,0.0282
"NE",2021,33,"All",0.0138,0.0051,0.0322,0.0137,0.005,0.032
"SE",2021,33,"All",0.0136,0.0054,0.0304,0.0135,0.0053,0.0302
"SW",2021,33,"All",0.0168,0.0063,0.0396,0.0167,0.0063,0.0394
"SE",2021,34,"Pipiens",0.0169,0.0054,0.0444,0.0168,0.0054,0.0442
"SE",2021,34,"All",0.0132,0.0042,0.0341,0.0131,0.0042,0.0339
"FC",2021,34,"Pipiens",0.0129,0.0075,0.0212,0.0128,0.0074,0.0211
"SE",2021,35,"Pipiens",0.0144,0.0055,0.0326,0.0143,0.0055,0.0325
"SE",2021,35,"Tarsalis",0.0087,5e-04,0.0423,0.0086,5e-04,0.0419
"SE",2022,31,"Pipiens",0.0116,0.0045,0.0256,0.0115,0.0045,0.0256
"NW",2022,34,"Pipiens",0.0048,3e-04,0.0234,0.0047,3e-04,0.0232
"NE",2022,35,"Tarsalis",0.0092,5e-04,0.0457,0.0091,5e-04,0.0453
"LV",2022,36,"Tarsalis",0.0144,9e-04,0.0858,0.0143,8e-04,0.0838
"LV",2023,30,"All",0.0156,0.0074,0.0309,0.0155,0.0073,0.0308
"NW",2023,32,"All",0.0176,0.0057,0.0448,0.0175,0.0057,0.0446
"NE",2023,32,"Tarsalis",0.0167,0.0045,0.0472,0.0166,0.0045,0.0469
"NE",2023,32,"All",0.0107,0.0035,0.0258,0.0106,0.0035,0.0257
"NE",2023,33,"Pipiens",0.0195,0.0076,0.0445,0.0194,0.0075,0.0443
"NE",2023,33,"Tarsalis",0.0173,0.0047,0.049,0.0172,0.0047,0.0488
"SE",2023,33,"All",0.0065,0.0012,0.0209,0.0064,0.0012,0.0206
"FC",2023,33,"Pipiens",0.0174,0.0094,0.0303,0.0173,0.0094,0.0301
"FC",2023,33,"Tarsalis",0.0144,0.0071,0.0266,0.0143,0.0071,0.0265
"FC",2023,33,"All",0.0161,0.0102,0.0244,0.016,0.0102,0.0243
"NW",2023,34,"Pipiens",0.0103,0.0019,0.0353,0.0102,0.0019,0.0351
"NW",2023,35,"Pipiens",0.008,5e-04,0.042,0.0079,5e-04,0.0416
"NE",2023,35,"Pipiens",0.0086,0.0016,0.0295,0.0085,0.0015,0.0292
"NE",2023,35,"All",0.0106,0.0028,0.0299,0.0105,0.0028,0.0296
"LV",2024,29,"All",0.008,5e-04,0.0411,0.0079,5e-04,0.0404
"NE",2024,31,"Tarsalis",0.0045,3e-04,0.0232,0.0044,3e-04,0.023
